ID,Description,Data_type,Method_WES,N_WES,N_Case_WES,N_Control_WES,Gender_specific,URL
2188,"Long-standing illness, disability or infirmity",Binary,MLM,45167,15256,29911,,http://data.qld.edu.au/public/Q1031/UKB_WES/2188.fastGWA.gz
2207,Wears glasses or contact lenses,Binary,MLM,46153,41347,4806,,http://data.qld.edu.au/public/Q1031/UKB_WES/2207.fastGWA.gz
2217,Age started wearing glasses or contact lenses,Continuous,MLM,40092,,,,http://data.qld.edu.au/public/Q1031/UKB_WES/2217.fastGWA.gz
2227,Other eye problems,Binary,LR,46036,7160,38876,,http://data.qld.edu.au/public/Q1031/UKB_WES/2227.fastGWA.gz
2247_0,Hearing difficulty/problems: No,Binary,MLM,43700,31527,12173,,http://data.qld.edu.au/public/Q1031/UKB_WES/2247_0.fastGWA.gz
2247_1,Hearing difficulty/problems: Yes,Binary,MLM,43700,12172,31528,,http://data.qld.edu.au/public/Q1031/UKB_WES/2247_1.fastGWA.gz
2247_99,Hearing difficulty/problems: I am completely deaf,Binary,LR,43700,1,43699,,http://data.qld.edu.au/public/Q1031/UKB_WES/2247_99.fastGWA.gz
2257,Hearing difficulty/problems with background noise,Binary,MLM,45155,17221,27934,,http://data.qld.edu.au/public/Q1031/UKB_WES/2257.fastGWA.gz
2267,Use of sun/uv protection,Ordered_Categorical,MLM,45854,,,,http://data.qld.edu.au/public/Q1031/UKB_WES/2267.fastGWA.gz
2277,Frequency of solarium/sunlamp use,Ordered_Categorical,MLM,44018,,,,http://data.qld.edu.au/public/Q1031/UKB_WES/2277.fastGWA.gz
2296,Falls in the last year,Ordered_Categorical,MLM,46101,,,,http://data.qld.edu.au/public/Q1031/UKB_WES/2296.fastGWA.gz
2306,Weight change compared with 1 year ago,Ordered_Categorical,MLM,45563,,,,http://data.qld.edu.au/public/Q1031/UKB_WES/2306.fastGWA.gz
2316,Wheeze or whistling in the chest in last year,Binary,MLM,45323,9978,35345,,http://data.qld.edu.au/public/Q1031/UKB_WES/2316.fastGWA.gz
2335,Chest pain or discomfort,Binary,MLM,45765,7495,38270,,http://data.qld.edu.au/public/Q1031/UKB_WES/2335.fastGWA.gz
2415,Had major operations,Binary,MLM,20943,13215,7728,YES,http://data.qld.edu.au/public/Q1031/UKB_WES/2415.fastGWA.gz
2453,Cancer diagnosed by doctor,Binary,MLM,46059,3838,42221,,http://data.qld.edu.au/public/Q1031/UKB_WES/2453.fastGWA.gz
2463,Fractured/broken bones in last 5 years,Binary,MLM,45972,4336,41636,,http://data.qld.edu.au/public/Q1031/UKB_WES/2463.fastGWA.gz
2473,Other serious medical condition/disability diagnosed by doctor,Binary,MLM,45415,9516,35899,,http://data.qld.edu.au/public/Q1031/UKB_WES/2473.fastGWA.gz
2624,Frequency of heavy DIY in last 4 weeks,Ordered_Categorical,MLM,18811,,,,http://data.qld.edu.au/public/Q1031/UKB_WES/2624.fastGWA.gz
2634,Duration of heavy DIY,Ordered_Categorical,LR,18845,,,,http://data.qld.edu.au/public/Q1031/UKB_WES/2634.fastGWA.gz
2664_5,Reason for reducing amount of alcohol drunk: Other reason,Binary,LR,17544,9197,8347,,http://data.qld.edu.au/public/Q1031/UKB_WES/2664_5.fastGWA.gz
2664_1,Reason for reducing amount of alcohol drunk: Illness or ill health,Binary,MLM,17544,1240,16304,,http://data.qld.edu.au/public/Q1031/UKB_WES/2664_1.fastGWA.gz
2664_2,Reason for reducing amount of alcohol drunk: Doctor's advice,Binary,LR,17544,334,17210,,http://data.qld.edu.au/public/Q1031/UKB_WES/2664_2.fastGWA.gz
2664_3,Reason for reducing amount of alcohol drunk: Health precaution,Binary,MLM,17544,5925,11619,,http://data.qld.edu.au/public/Q1031/UKB_WES/2664_3.fastGWA.gz
2664_4,Reason for reducing amount of alcohol drunk: Financial reasons,Binary,LR,17544,848,16696,,http://data.qld.edu.au/public/Q1031/UKB_WES/2664_4.fastGWA.gz
2844,Had other major operations,Binary,LR,24913,16661,8252,YES,http://data.qld.edu.au/public/Q1031/UKB_WES/2844.fastGWA.gz
2956,General pain for 3+ months,Binary,LR,586,506,80,,http://data.qld.edu.au/public/Q1031/UKB_WES/2956.fastGWA.gz
2986,Started insulin within one year diagnosis of diabetes,Binary,LR,2084,235,1849,,http://data.qld.edu.au/public/Q1031/UKB_WES/2986.fastGWA.gz
3005,Fracture resulting from simple fall,Binary,LR,4289,2519,1770,,http://data.qld.edu.au/public/Q1031/UKB_WES/3005.fastGWA.gz
3079,Pace-maker,Binary,LR,46185,14,46171,,http://data.qld.edu.au/public/Q1031/UKB_WES/3079.fastGWA.gz
3393,Hearing aid user,Binary,MLM,41000,1277,39723,,http://data.qld.edu.au/public/Q1031/UKB_WES/3393.fastGWA.gz
3404,Neck/shoulder pain for 3+ months,Binary,LR,9966,6894,3072,,http://data.qld.edu.au/public/Q1031/UKB_WES/3404.fastGWA.gz
3414,Hip pain for 3+ months,Binary,MLM,4943,3853,1090,,http://data.qld.edu.au/public/Q1031/UKB_WES/3414.fastGWA.gz
3571,Back pain for 3+ months,Binary,LR,11227,7821,3406,,http://data.qld.edu.au/public/Q1031/UKB_WES/3571.fastGWA.gz
3606,Chest pain or discomfort walking normally,Binary,LR,7420,1236,6184,,http://data.qld.edu.au/public/Q1031/UKB_WES/3606.fastGWA.gz
3616,Chest pain due to walking ceases when standing still,Binary,LR,2644,2129,515,,http://data.qld.edu.au/public/Q1031/UKB_WES/3616.fastGWA.gz
3637,Frequency of other exercises in last 4 weeks,Ordered_Categorical,LR,22563,,,,http://data.qld.edu.au/public/Q1031/UKB_WES/3637.fastGWA.gz
3731,Former alcohol drinker,Binary,LR,2888,1519,1369,,http://data.qld.edu.au/public/Q1031/UKB_WES/3731.fastGWA.gz
3741,Stomach/abdominal pain for 3+ months,Binary,LR,3552,1932,1620,,http://data.qld.edu.au/public/Q1031/UKB_WES/3741.fastGWA.gz
3751,Chest pain or discomfort when walking uphill or hurrying,Binary,LR,6021,1587,4434,,http://data.qld.edu.au/public/Q1031/UKB_WES/3751.fastGWA.gz
3761,"Age hay fever, rhinitis or eczema diagnosed",Continuous,MLM,10109,,,,http://data.qld.edu.au/public/Q1031/UKB_WES/3761.fastGWA.gz
3773,Knee pain for 3+ months,Binary,LR,9789,7767,2022,,http://data.qld.edu.au/public/Q1031/UKB_WES/3773.fastGWA.gz
3799,Headaches for 3+ months,Binary,LR,8650,4134,4516,,http://data.qld.edu.au/public/Q1031/UKB_WES/3799.fastGWA.gz
3859_5,Reason former drinker stopped drinking alcohol: Other reason,Binary,LR,1474,681,793,,http://data.qld.edu.au/public/Q1031/UKB_WES/3859_5.fastGWA.gz
3859_1,Reason former drinker stopped drinking alcohol: Illness or ill health,Binary,LR,1474,388,1086,,http://data.qld.edu.au/public/Q1031/UKB_WES/3859_1.fastGWA.gz
3859_2,Reason former drinker stopped drinking alcohol: Doctor's advice,Binary,LR,1474,65,1409,,http://data.qld.edu.au/public/Q1031/UKB_WES/3859_2.fastGWA.gz
3859_3,Reason former drinker stopped drinking alcohol: Health precaution,Binary,MLM,1474,315,1159,,http://data.qld.edu.au/public/Q1031/UKB_WES/3859_3.fastGWA.gz
3859_4,Reason former drinker stopped drinking alcohol: Financial reasons,Binary,LR,1474,25,1449,,http://data.qld.edu.au/public/Q1031/UKB_WES/3859_4.fastGWA.gz
3992,Age emphysema/chronic bronchitis diagnosed,Continuous,LR,690,,,,http://data.qld.edu.au/public/Q1031/UKB_WES/3992.fastGWA.gz
4012,"Age deep-vein thrombosis (DVT, blood clot in leg) diagnosed",Continuous,LR,898,,,,http://data.qld.edu.au/public/Q1031/UKB_WES/4012.fastGWA.gz
4067,Facial pains for 3+ months,Binary,LR,799,395,404,,http://data.qld.edu.au/public/Q1031/UKB_WES/4067.fastGWA.gz
4106,"Heel bone mineral density (BMD) T-score, automated (left)",Continuous,MLM,35200,,,,http://data.qld.edu.au/public/Q1031/UKB_WES/4106.fastGWA.gz
4125,"Heel bone mineral density (BMD) T-score, automated (right)",Continuous,MLM,35235,,,,http://data.qld.edu.au/public/Q1031/UKB_WES/4125.fastGWA.gz
4407,Average monthly red wine intake,Ordered_Categorical,MLM,8432,,,,http://data.qld.edu.au/public/Q1031/UKB_WES/4407.fastGWA.gz
4418,Average monthly champagne plus white wine intake,Ordered_Categorical,LR,8424,,,,http://data.qld.edu.au/public/Q1031/UKB_WES/4418.fastGWA.gz
4429,Average monthly beer plus cider intake,Ordered_Categorical,LR,8441,,,,http://data.qld.edu.au/public/Q1031/UKB_WES/4429.fastGWA.gz
4440,Average monthly spirits intake,Ordered_Categorical,LR,8415,,,,http://data.qld.edu.au/public/Q1031/UKB_WES/4440.fastGWA.gz
4451,Average monthly fortified wine intake,Ordered_Categorical,LR,8459,,,,http://data.qld.edu.au/public/Q1031/UKB_WES/4451.fastGWA.gz
4462,Average monthly intake of other alcoholic drinks,Ordered_Categorical,LR,8464,,,,http://data.qld.edu.au/public/Q1031/UKB_WES/4462.fastGWA.gz
4526,Happiness,Ordered_Categorical,MLM,37247,,,,http://data.qld.edu.au/public/Q1031/UKB_WES/4526.fastGWA.gz
4537,Work/job satisfaction,Ordered_Categorical,LR,25633,,,,http://data.qld.edu.au/public/Q1031/UKB_WES/4537.fastGWA.gz
4548,Health satisfaction,Ordered_Categorical,MLM,37271,,,,http://data.qld.edu.au/public/Q1031/UKB_WES/4548.fastGWA.gz
4559,Family relationship satisfaction,Ordered_Categorical,MLM,37084,,,,http://data.qld.edu.au/public/Q1031/UKB_WES/4559.fastGWA.gz
4570,Friendships satisfaction,Ordered_Categorical,MLM,36991,,,,http://data.qld.edu.au/public/Q1031/UKB_WES/4570.fastGWA.gz
4581,Financial situation satisfaction,Ordered_Categorical,MLM,37223,,,,http://data.qld.edu.au/public/Q1031/UKB_WES/4581.fastGWA.gz
4598,Ever depressed for a whole week,Binary,MLM,36719,20113,16606,,http://data.qld.edu.au/public/Q1031/UKB_WES/4598.fastGWA.gz
4609,Longest period of depression,Continuous,LR,16258,,,,http://data.qld.edu.au/public/Q1031/UKB_WES/4609.fastGWA.gz
4631,Ever unenthusiastic/disinterested for a whole week,Binary,MLM,35937,13663,22274,,http://data.qld.edu.au/public/Q1031/UKB_WES/4631.fastGWA.gz
4642,Ever manic/hyper for 2 days,Binary,LR,36566,1992,34574,,http://data.qld.edu.au/public/Q1031/UKB_WES/4642.fastGWA.gz
4653,Ever highly irritable/argumentative for 2 days,Binary,MLM,36597,6598,29999,,http://data.qld.edu.au/public/Q1031/UKB_WES/4653.fastGWA.gz
4700,Age cataract diagnosed,Continuous,LR,1881,,,,http://data.qld.edu.au/public/Q1031/UKB_WES/4700.fastGWA.gz
4717,Shortness of breath walking on level ground,Binary,MLM,36738,3952,32786,,http://data.qld.edu.au/public/Q1031/UKB_WES/4717.fastGWA.gz
4792,Cochlear implant,Binary,LR,37422,3,37419,,http://data.qld.edu.au/public/Q1031/UKB_WES/4792.fastGWA.gz
4803_0,"Tinnitus: No, never",Binary,MLM,36788,26065,10723,,http://data.qld.edu.au/public/Q1031/UKB_WES/4803_0.fastGWA.gz
4803_11,"Tinnitus: Yes, now most or all of the time",Binary,MLM,36788,2368,34420,,http://data.qld.edu.au/public/Q1031/UKB_WES/4803_11.fastGWA.gz
4803_12,"Tinnitus: Yes, now a lot of the time",Binary,LR,36788,951,35837,,http://data.qld.edu.au/public/Q1031/UKB_WES/4803_12.fastGWA.gz
4803_13,"Tinnitus: Yes, now some of the time",Binary,MLM,36788,3273,33515,,http://data.qld.edu.au/public/Q1031/UKB_WES/4803_13.fastGWA.gz
4803_14,"Tinnitus: Yes, but not now, but have in the past",Binary,MLM,36788,4131,32657,,http://data.qld.edu.au/public/Q1031/UKB_WES/4803_14.fastGWA.gz
4814,Tinnitus severity/nuisance,Ordered_Categorical,LR,10656,,,,http://data.qld.edu.au/public/Q1031/UKB_WES/4814.fastGWA.gz
4825,Noisy workplace,Ordered_Categorical,MLM,37135,,,,http://data.qld.edu.au/public/Q1031/UKB_WES/4825.fastGWA.gz
4836,Loud music exposure frequency,Ordered_Categorical,MLM,36959,,,,http://data.qld.edu.au/public/Q1031/UKB_WES/4836.fastGWA.gz
5375,Longest period of unenthusiasm / disinterest,Continuous,LR,10471,,,,http://data.qld.edu.au/public/Q1031/UKB_WES/5375.fastGWA.gz
5386,Number of unenthusiastic/disinterested episodes,Ordered_Categorical,LR,9800,,,,http://data.qld.edu.au/public/Q1031/UKB_WES/5386.fastGWA.gz
5441_3,Which eye(s) are affected by cataract: Both eyes,Binary,LR,1910,1180,730,,http://data.qld.edu.au/public/Q1031/UKB_WES/5441_3.fastGWA.gz
5441_1,Which eye(s) are affected by cataract: Right eye,Binary,LR,1910,423,1487,,http://data.qld.edu.au/public/Q1031/UKB_WES/5441_1.fastGWA.gz
5441_2,Which eye(s) are affected by cataract: Left eye,Binary,LR,1910,307,1603,,http://data.qld.edu.au/public/Q1031/UKB_WES/5441_2.fastGWA.gz
5610_3,Which eye(s) affected by presbyopia: Both eyes,Binary,LR,13850,12432,1418,,http://data.qld.edu.au/public/Q1031/UKB_WES/5610_3.fastGWA.gz
5610_1,Which eye(s) affected by presbyopia: Right eye,Binary,LR,13850,722,13128,,http://data.qld.edu.au/public/Q1031/UKB_WES/5610_1.fastGWA.gz
5610_2,Which eye(s) affected by presbyopia: Left eye,Binary,LR,13850,696,13154,,http://data.qld.edu.au/public/Q1031/UKB_WES/5610_2.fastGWA.gz
5663,Length of longest manic/irritable episode,Binary,LR,6187,1299,4888,,http://data.qld.edu.au/public/Q1031/UKB_WES/5663.fastGWA.gz
5674,Severity of manic/irritable episodes,Binary,LR,6658,1940,4718,,http://data.qld.edu.au/public/Q1031/UKB_WES/5674.fastGWA.gz
5832_3,Which eye(s) affected by hypermetropia (long sight): Both eyes,Binary,LR,6694,5751,943,,http://data.qld.edu.au/public/Q1031/UKB_WES/5832_3.fastGWA.gz
5832_1,Which eye(s) affected by hypermetropia (long sight): Right eye,Binary,LR,6694,478,6216,,http://data.qld.edu.au/public/Q1031/UKB_WES/5832_1.fastGWA.gz
5832_2,Which eye(s) affected by hypermetropia (long sight): Left eye,Binary,LR,6694,465,6229,,http://data.qld.edu.au/public/Q1031/UKB_WES/5832_2.fastGWA.gz
5843_3,Which eye(s) affected by myopia (short sight): Both eyes,Binary,MLM,12948,11575,1373,,http://data.qld.edu.au/public/Q1031/UKB_WES/5843_3.fastGWA.gz
5843_1,Which eye(s) affected by myopia (short sight): Right eye,Binary,MLM,12948,684,12264,,http://data.qld.edu.au/public/Q1031/UKB_WES/5843_1.fastGWA.gz
5843_2,Which eye(s) affected by myopia (short sight): Left eye,Binary,LR,12948,689,12259,,http://data.qld.edu.au/public/Q1031/UKB_WES/5843_2.fastGWA.gz
5855_3,Which eye(s) affected by astigmatism: Both eyes,Binary,LR,4377,3010,1367,,http://data.qld.edu.au/public/Q1031/UKB_WES/5855_3.fastGWA.gz
5855_1,Which eye(s) affected by astigmatism: Right eye,Binary,LR,4377,649,3728,,http://data.qld.edu.au/public/Q1031/UKB_WES/5855_1.fastGWA.gz
5855_2,Which eye(s) affected by astigmatism: Left eye,Binary,LR,4377,718,3659,,http://data.qld.edu.au/public/Q1031/UKB_WES/5855_2.fastGWA.gz
5985,Bicycle speed,Continuous,MLM,34597,,,,http://data.qld.edu.au/public/Q1031/UKB_WES/5985.fastGWA.gz
6145_100,"Illness, injury, bereavement, stress in last 2 years: PHESANT recoding",Binary,MLM,45913,25078,20835,,http://data.qld.edu.au/public/Q1031/UKB_WES/6145_100.fastGWA.gz
6145_1,"Illness, injury, bereavement, stress in last 2 years: Serious illness, injury or assault to yourself",Binary,LR,45913,4661,41252,,http://data.qld.edu.au/public/Q1031/UKB_WES/6145_1.fastGWA.gz
6145_2,"Illness, injury, bereavement, stress in last 2 years: Serious illness, injury or assault of a close relative",Binary,MLM,45913,5901,40012,,http://data.qld.edu.au/public/Q1031/UKB_WES/6145_2.fastGWA.gz
6145_5,"Illness, injury, bereavement, stress in last 2 years: Marital separation/divorce",Binary,LR,45913,1460,44453,,http://data.qld.edu.au/public/Q1031/UKB_WES/6145_5.fastGWA.gz
6145_6,"Illness, injury, bereavement, stress in last 2 years: Financial difficulties",Binary,LR,45913,5623,40290,,http://data.qld.edu.au/public/Q1031/UKB_WES/6145_6.fastGWA.gz
6145_3,"Illness, injury, bereavement, stress in last 2 years: Death of a close relative",Binary,MLM,45913,9676,36237,,http://data.qld.edu.au/public/Q1031/UKB_WES/6145_3.fastGWA.gz
6145_4,"Illness, injury, bereavement, stress in last 2 years: Death of a spouse or partner",Binary,LR,45913,697,45216,,http://data.qld.edu.au/public/Q1031/UKB_WES/6145_4.fastGWA.gz
6147_3,Reason for glasses/contact lenses: For just reading/near work as you are getting older (called 'presbyopia'),Binary,MLM,46153,13850,32303,,http://data.qld.edu.au/public/Q1031/UKB_WES/6147_3.fastGWA.gz
6147_2,"Reason for glasses/contact lenses: For long-sightedness, i.e. for distance and near, but particularly for near tasks like reading (called 'hypermetropia')",Binary,MLM,46153,6694,39459,,http://data.qld.edu.au/public/Q1031/UKB_WES/6147_2.fastGWA.gz
6147_1,"Reason for glasses/contact lenses: For short-sightedness, i.e. only or mainly for distance viewing such as driving, cinema etc (called 'myopia')",Binary,MLM,46153,12948,33205,,http://data.qld.edu.au/public/Q1031/UKB_WES/6147_1.fastGWA.gz
6147_4,Reason for glasses/contact lenses: For 'astigmatism',Binary,MLM,46153,4377,41776,,http://data.qld.edu.au/public/Q1031/UKB_WES/6147_4.fastGWA.gz
6147_6,Reason for glasses/contact lenses: For a 'lazy' eye or an eye with poor vision since childhood (called 'amblyopia'),Binary,MLM,46153,1296,44857,,http://data.qld.edu.au/public/Q1031/UKB_WES/6147_6.fastGWA.gz
6147_5,Reason for glasses/contact lenses: For a 'squint' or 'turn' in an eye since childhood (called 'strabismus'),Binary,MLM,46153,662,45491,,http://data.qld.edu.au/public/Q1031/UKB_WES/6147_5.fastGWA.gz
6147_7,Reason for glasses/contact lenses: Other eye condition,Binary,LR,46153,549,45604,,http://data.qld.edu.au/public/Q1031/UKB_WES/6147_7.fastGWA.gz
6148_100,Eye problems/disorders: PHESANT recoding,Binary,MLM,36909,32631,4278,,http://data.qld.edu.au/public/Q1031/UKB_WES/6148_100.fastGWA.gz
6148_4,Eye problems/disorders: Cataract,Binary,LR,36909,2137,34772,,http://data.qld.edu.au/public/Q1031/UKB_WES/6148_4.fastGWA.gz
6148_3,Eye problems/disorders: Injury or trauma resulting in loss of vision,Binary,LR,36909,265,36644,,http://data.qld.edu.au/public/Q1031/UKB_WES/6148_3.fastGWA.gz
6148_2,Eye problems/disorders: Glaucoma,Binary,LR,36909,688,36221,,http://data.qld.edu.au/public/Q1031/UKB_WES/6148_2.fastGWA.gz
6148_1,Eye problems/disorders: Diabetes related eye disease,Binary,LR,36909,384,36525,,http://data.qld.edu.au/public/Q1031/UKB_WES/6148_1.fastGWA.gz
6148_6,Eye problems/disorders: Other serious eye condition,Binary,LR,36909,858,36051,,http://data.qld.edu.au/public/Q1031/UKB_WES/6148_6.fastGWA.gz
6148_5,Eye problems/disorders: Macular degeneration,Binary,LR,36909,464,36445,,http://data.qld.edu.au/public/Q1031/UKB_WES/6148_5.fastGWA.gz
6149_4,Mouth/teeth dental problems: Loose teeth,Binary,MLM,46022,1829,44193,,http://data.qld.edu.au/public/Q1031/UKB_WES/6149_4.fastGWA.gz
6149_6,Mouth/teeth dental problems: Dentures,Binary,MLM,46022,6628,39394,,http://data.qld.edu.au/public/Q1031/UKB_WES/6149_6.fastGWA.gz
6149_100,Mouth/teeth dental problems: PHESANT recoding,Binary,LR,46022,28351,17671,,http://data.qld.edu.au/public/Q1031/UKB_WES/6149_100.fastGWA.gz
6149_3,Mouth/teeth dental problems: Bleeding gums,Binary,LR,46022,6456,39566,,http://data.qld.edu.au/public/Q1031/UKB_WES/6149_3.fastGWA.gz
6149_1,Mouth/teeth dental problems: Mouth ulcers,Binary,LR,46022,5260,40762,,http://data.qld.edu.au/public/Q1031/UKB_WES/6149_1.fastGWA.gz
6149_2,Mouth/teeth dental problems: Painful gums,Binary,MLM,46022,1336,44686,,http://data.qld.edu.au/public/Q1031/UKB_WES/6149_2.fastGWA.gz
6149_5,Mouth/teeth dental problems: Toothache,Binary,LR,46022,2025,43997,,http://data.qld.edu.au/public/Q1031/UKB_WES/6149_5.fastGWA.gz
6150_4,Vascular/heart problems diagnosed by doctor: High blood pressure,Binary,MLM,46128,12054,34074,,http://data.qld.edu.au/public/Q1031/UKB_WES/6150_4.fastGWA.gz
6150_1,Vascular/heart problems diagnosed by doctor: Heart attack,Binary,MLM,46128,959,45169,,http://data.qld.edu.au/public/Q1031/UKB_WES/6150_1.fastGWA.gz
6150_2,Vascular/heart problems diagnosed by doctor: Angina,Binary,LR,46128,1336,44792,,http://data.qld.edu.au/public/Q1031/UKB_WES/6150_2.fastGWA.gz
6150_100,Vascular/heart problems diagnosed by doctor: PHESANT recoding,Binary,MLM,46128,32881,13247,,http://data.qld.edu.au/public/Q1031/UKB_WES/6150_100.fastGWA.gz
6150_3,Vascular/heart problems diagnosed by doctor: Stroke,Binary,LR,46128,648,45480,,http://data.qld.edu.au/public/Q1031/UKB_WES/6150_3.fastGWA.gz
6151_5,Fractured bone site(s): Wrist,Binary,LR,45972,953,45019,,http://data.qld.edu.au/public/Q1031/UKB_WES/6151_5.fastGWA.gz
6151_7,Fractured bone site(s): Other bones,Binary,MLM,45972,2314,43658,,http://data.qld.edu.au/public/Q1031/UKB_WES/6151_7.fastGWA.gz
6151_1,Fractured bone site(s): Ankle,Binary,LR,45972,622,45350,,http://data.qld.edu.au/public/Q1031/UKB_WES/6151_1.fastGWA.gz
6151_2,Fractured bone site(s): Leg,Binary,LR,45972,326,45646,,http://data.qld.edu.au/public/Q1031/UKB_WES/6151_2.fastGWA.gz
6151_3,Fractured bone site(s): Hip,Binary,LR,45972,73,45899,,http://data.qld.edu.au/public/Q1031/UKB_WES/6151_3.fastGWA.gz
6151_6,Fractured bone site(s): Arm,Binary,LR,45972,449,45523,,http://data.qld.edu.au/public/Q1031/UKB_WES/6151_6.fastGWA.gz
6151_4,Fractured bone site(s): Spine,Binary,LR,45972,110,45862,,http://data.qld.edu.au/public/Q1031/UKB_WES/6151_4.fastGWA.gz
6156_15,Manic/hyper symptoms: All of the above,Binary,LR,7570,794,6776,,http://data.qld.edu.au/public/Q1031/UKB_WES/6156_15.fastGWA.gz
6156_11,Manic/hyper symptoms: I was more active than usual,Binary,MLM,7570,1897,5673,,http://data.qld.edu.au/public/Q1031/UKB_WES/6156_11.fastGWA.gz
6156_13,Manic/hyper symptoms: I needed less sleep than usual,Binary,LR,7570,1006,6564,,http://data.qld.edu.au/public/Q1031/UKB_WES/6156_13.fastGWA.gz
