ID,Description,Data_type,Method_WES,N_WES,N_Case_WES,N_Control_WES,Gender_specific,URL
4429,Average monthly beer plus cider intake,Ordered_Categorical,LR,8441,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/4429.v1.fastGWA.gz
4440,Average monthly spirits intake,Ordered_Categorical,LR,8415,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/4440.v1.fastGWA.gz
4451,Average monthly fortified wine intake,Ordered_Categorical,LR,8459,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/4451.v1.fastGWA.gz
4462,Average monthly intake of other alcoholic drinks,Ordered_Categorical,LR,8464,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/4462.v1.fastGWA.gz
4526,Happiness,Ordered_Categorical,MLM,37247,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/4526.v1.fastGWA.gz
4537,Work/job satisfaction,Ordered_Categorical,LR,25633,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/4537.v1.fastGWA.gz
4548,Health satisfaction,Ordered_Categorical,MLM,37271,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/4548.v1.fastGWA.gz
4559,Family relationship satisfaction,Ordered_Categorical,MLM,37084,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/4559.v1.fastGWA.gz
4570,Friendships satisfaction,Ordered_Categorical,MLM,36991,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/4570.v1.fastGWA.gz
4581,Financial situation satisfaction,Ordered_Categorical,MLM,37223,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/4581.v1.fastGWA.gz
4598,Ever depressed for a whole week,Binary,MLM,36719,20113,16606,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/4598.v1.fastGWA.gz
4609,Longest period of depression,Continuous,LR,16258,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/4609.v1.fastGWA.gz
4631,Ever unenthusiastic/disinterested for a whole week,Binary,MLM,35937,13663,22274,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/4631.v1.fastGWA.gz
4642,Ever manic/hyper for 2 days,Binary,LR,36566,1992,34574,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/4642.v1.fastGWA.gz
4653,Ever highly irritable/argumentative for 2 days,Binary,MLM,36597,6598,29999,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/4653.v1.fastGWA.gz
4717,Shortness of breath walking on level ground,Binary,MLM,36738,3952,32786,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/4717.v1.fastGWA.gz
4803_0,Tinnitus: No, never,Binary,MLM,36788,26065,10723,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/4803_0.v1.fastGWA.gz
4803_11,Tinnitus: Yes, now most or all of the time,Binary,MLM,36788,2368,34420,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/4803_11.v1.fastGWA.gz
4803_12,Tinnitus: Yes, now a lot of the time,Binary,LR,36788,951,35837,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/4803_12.v1.fastGWA.gz
4803_13,Tinnitus: Yes, now some of the time,Binary,MLM,36788,3273,33515,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/4803_13.v1.fastGWA.gz
4803_14,Tinnitus: Yes, but not now, but have in the past,Binary,MLM,36788,4131,32657,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/4803_14.v1.fastGWA.gz
4814,Tinnitus severity/nuisance,Ordered_Categorical,LR,10656,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/4814.v1.fastGWA.gz
4825,Noisy workplace,Ordered_Categorical,MLM,37135,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/4825.v1.fastGWA.gz
4836,Loud music exposure frequency,Ordered_Categorical,MLM,36959,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/4836.v1.fastGWA.gz
5375,Longest period of unenthusiasm / disinterest,Continuous,LR,10471,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/5375.v1.fastGWA.gz
5386,Number of unenthusiastic/disinterested episodes,Ordered_Categorical,LR,9800,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/5386.v1.fastGWA.gz
5610_3,Which eye(s) affected by presbyopia: Both eyes,Binary,LR,13850,12432,1418,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/5610_3.v1.fastGWA.gz
5610_1,Which eye(s) affected by presbyopia: Right eye,Binary,LR,13850,722,13128,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/5610_1.v1.fastGWA.gz
5610_2,Which eye(s) affected by presbyopia: Left eye,Binary,LR,13850,696,13154,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/5610_2.v1.fastGWA.gz
5663,Length of longest manic/irritable episode,Binary,LR,6187,1299,4888,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/5663.v1.fastGWA.gz
5674,Severity of manic/irritable episodes,Binary,LR,6658,1940,4718,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/5674.v1.fastGWA.gz
5832_3,Which eye(s) affected by hypermetropia (long sight): Both eyes,Binary,LR,6694,5751,943,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/5832_3.v1.fastGWA.gz
5832_1,Which eye(s) affected by hypermetropia (long sight): Right eye,Binary,LR,6694,478,6216,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/5832_1.v1.fastGWA.gz
5832_2,Which eye(s) affected by hypermetropia (long sight): Left eye,Binary,LR,6694,465,6229,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/5832_2.v1.fastGWA.gz
5843_3,Which eye(s) affected by myopia (short sight): Both eyes,Binary,MLM,12948,11575,1373,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/5843_3.v1.fastGWA.gz
5843_1,Which eye(s) affected by myopia (short sight): Right eye,Binary,MLM,12948,684,12264,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/5843_1.v1.fastGWA.gz
5843_2,Which eye(s) affected by myopia (short sight): Left eye,Binary,LR,12948,689,12259,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/5843_2.v1.fastGWA.gz
5985,Bicycle speed,Continuous,MLM,34597,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/5985.v1.fastGWA.gz
6145_100,Illness, injury, bereavement, stress in last 2 years: PHESANT recoding,Binary,MLM,45913,25078,20835,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/6145_100.v1.fastGWA.gz
6145_1,Illness, injury, bereavement, stress in last 2 years: Serious illness, injury or assault to yourself,Binary,LR,45913,4661,41252,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/6145_1.v1.fastGWA.gz
6145_2,Illness, injury, bereavement, stress in last 2 years: Serious illness, injury or assault of a close relative,Binary,MLM,45913,5901,40012,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/6145_2.v1.fastGWA.gz
6145_5,Illness, injury, bereavement, stress in last 2 years: Marital separation/divorce,Binary,LR,45913,1460,44453,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/6145_5.v1.fastGWA.gz
6145_6,Illness, injury, bereavement, stress in last 2 years: Financial difficulties,Binary,LR,45913,5623,40290,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/6145_6.v1.fastGWA.gz
6145_3,Illness, injury, bereavement, stress in last 2 years: Death of a close relative,Binary,MLM,45913,9676,36237,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/6145_3.v1.fastGWA.gz
6145_4,Illness, injury, bereavement, stress in last 2 years: Death of a spouse or partner,Binary,LR,45913,697,45216,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/6145_4.v1.fastGWA.gz
6147_3,Reason for glasses/contact lenses: For just reading/near work as you are getting older (called 'presbyopia'),Binary,MLM,46153,13850,32303,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/6147_3.v1.fastGWA.gz
6147_2,Reason for glasses/contact lenses: For long-sightedness, i.e. for distance and near, but particularly for near tasks like reading (called 'hypermetropia'),Binary,MLM,46153,6694,39459,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/6147_2.v1.fastGWA.gz
6147_1,Reason for glasses/contact lenses: For short-sightedness, i.e. only or mainly for distance viewing such as driving, cinema etc (called 'myopia'),Binary,MLM,46153,12948,33205,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/6147_1.v1.fastGWA.gz
6147_4,Reason for glasses/contact lenses: For 'astigmatism',Binary,MLM,46153,4377,41776,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/6147_4.v1.fastGWA.gz
6147_6,Reason for glasses/contact lenses: For a 'lazy' eye or an eye with poor vision since childhood (called 'amblyopia'),Binary,MLM,46153,1296,44857,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/6147_6.v1.fastGWA.gz
6147_5,Reason for glasses/contact lenses: For a 'squint' or 'turn' in an eye since childhood (called 'strabismus'),Binary,MLM,46153,662,45491,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/6147_5.v1.fastGWA.gz
6147_7,Reason for glasses/contact lenses: Other eye condition,Binary,LR,46153,549,45604,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/6147_7.v1.fastGWA.gz
6148_100,Eye problems/disorders: PHESANT recoding,Binary,MLM,36909,32631,4278,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/6148_100.v1.fastGWA.gz
6148_4,Eye problems/disorders: Cataract,Binary,LR,36909,2137,34772,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/6148_4.v1.fastGWA.gz
6148_2,Eye problems/disorders: Glaucoma,Binary,LR,36909,688,36221,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/6148_2.v1.fastGWA.gz
6148_1,Eye problems/disorders: Diabetes related eye disease,Binary,LR,36909,384,36525,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/6148_1.v1.fastGWA.gz
6148_6,Eye problems/disorders: Other serious eye condition,Binary,LR,36909,858,36051,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/6148_6.v1.fastGWA.gz
6148_5,Eye problems/disorders: Macular degeneration,Binary,LR,36909,464,36445,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/6148_5.v1.fastGWA.gz
6149_4,Mouth/teeth dental problems: Loose teeth,Binary,MLM,46022,1829,44193,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/6149_4.v1.fastGWA.gz
6149_6,Mouth/teeth dental problems: Dentures,Binary,MLM,46022,6628,39394,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/6149_6.v1.fastGWA.gz
6149_100,Mouth/teeth dental problems: PHESANT recoding,Binary,LR,46022,28351,17671,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/6149_100.v1.fastGWA.gz
6149_3,Mouth/teeth dental problems: Bleeding gums,Binary,LR,46022,6456,39566,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/6149_3.v1.fastGWA.gz
6149_1,Mouth/teeth dental problems: Mouth ulcers,Binary,LR,46022,5260,40762,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/6149_1.v1.fastGWA.gz
6149_2,Mouth/teeth dental problems: Painful gums,Binary,MLM,46022,1336,44686,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/6149_2.v1.fastGWA.gz
6149_5,Mouth/teeth dental problems: Toothache,Binary,LR,46022,2025,43997,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/6149_5.v1.fastGWA.gz
6150_4,Vascular/heart problems diagnosed by doctor: High blood pressure,Binary,MLM,46128,12054,34074,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/6150_4.v1.fastGWA.gz
6150_1,Vascular/heart problems diagnosed by doctor: Heart attack,Binary,MLM,46128,959,45169,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/6150_1.v1.fastGWA.gz
6150_2,Vascular/heart problems diagnosed by doctor: Angina,Binary,LR,46128,1336,44792,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/6150_2.v1.fastGWA.gz
6150_100,Vascular/heart problems diagnosed by doctor: PHESANT recoding,Binary,MLM,46128,32881,13247,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/6150_100.v1.fastGWA.gz
6150_3,Vascular/heart problems diagnosed by doctor: Stroke,Binary,LR,46128,648,45480,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/6150_3.v1.fastGWA.gz
6151_5,Fractured bone site(s): Wrist,Binary,LR,45972,953,45019,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/6151_5.v1.fastGWA.gz
6151_7,Fractured bone site(s): Other bones,Binary,MLM,45972,2314,43658,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/6151_7.v1.fastGWA.gz
6151_1,Fractured bone site(s): Ankle,Binary,LR,45972,622,45350,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/6151_1.v1.fastGWA.gz
6156_15,Manic/hyper symptoms: All of the above,Binary,LR,7570,794,6776,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/6156_15.v1.fastGWA.gz
6156_11,Manic/hyper symptoms: I was more active than usual,Binary,MLM,7570,1897,5673,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/6156_11.v1.fastGWA.gz
6156_13,Manic/hyper symptoms: I needed less sleep than usual,Binary,LR,7570,1006,6564,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/6156_13.v1.fastGWA.gz
6156_12,Manic/hyper symptoms: I was more talkative than usual,Binary,LR,7570,1566,6004,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/6156_12.v1.fastGWA.gz
6156_100,Manic/hyper symptoms: PHESANT recoding,Binary,MLM,7570,2748,4822,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/6156_100.v1.fastGWA.gz
6156_14,Manic/hyper symptoms: I was more creative or had more ideas than usual,Binary,LR,7570,912,6658,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/6156_14.v1.fastGWA.gz
6159_100,Pain type(s) experienced in last month: PHESANT recoding,Binary,LR,46129,19140,26989,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/6159_100.v1.fastGWA.gz
6159_1,Pain type(s) experienced in last month: Headache,Binary,LR,46129,8848,37281,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/6159_1.v1.fastGWA.gz
6159_3,Pain type(s) experienced in last month: Neck or shoulder pain,Binary,MLM,46129,10067,36062,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/6159_3.v1.fastGWA.gz
6159_7,Pain type(s) experienced in last month: Knee pain,Binary,MLM,46129,9869,36260,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/6159_7.v1.fastGWA.gz
6159_4,Pain type(s) experienced in last month: Back pain,Binary,MLM,46129,11323,34806,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/6159_4.v1.fastGWA.gz
6159_5,Pain type(s) experienced in last month: Stomach or abdominal pain,Binary,LR,46129,3616,42513,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/6159_5.v1.fastGWA.gz
6159_2,Pain type(s) experienced in last month: Facial pain,Binary,LR,46129,804,45325,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/6159_2.v1.fastGWA.gz
6159_8,Pain type(s) experienced in last month: Pain all over the body,Binary,LR,46129,596,45533,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/6159_8.v1.fastGWA.gz
6159_6,Pain type(s) experienced in last month: Hip pain,Binary,LR,46129,4996,41133,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/6159_6.v1.fastGWA.gz
6160_1,Leisure/social activities: Sports club or gym,Binary,MLM,46084,14377,31707,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/6160_1.v1.fastGWA.gz
6160_100,Leisure/social activities: PHESANT recoding,Binary,MLM,46084,13877,32207,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/6160_100.v1.fastGWA.gz
6160_5,Leisure/social activities: Other group activity,Binary,MLM,46084,10567,35517,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/6160_5.v1.fastGWA.gz
6160_4,Leisure/social activities: Adult education class,Binary,MLM,46084,3367,42717,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/6160_4.v1.fastGWA.gz
6160_2,Leisure/social activities: Pub or social club,Binary,MLM,46084,12428,33656,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/6160_2.v1.fastGWA.gz
