ID,Description,Data_type,Method,N,N_Case,N_Control,Gender_specific,URL
1628,Alcohol intake versus 10 years previously,Ordered_Categorical,MLM,422579,,,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/1628.v1.fastGWA.gz
1737,Childhood sunburn occasions,Ordered_Categorical,MLM,341616,,,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/1737.v1.fastGWA.gz
1757,Facial ageing,Ordered_Categorical,MLM,417772,,,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/1757.v1.fastGWA.gz
1920,Mood swings,Binary,MLM,445274,201373,243901,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/1920.v1.fastGWA.gz
1930,Miserableness,Binary,MLM,448554,192681,255873,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/1930.v1.fastGWA.gz
1940,Irritability,Binary,MLM,436031,122939,313092,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/1940.v1.fastGWA.gz
1950,Sensitivity / hurt feelings,Binary,MLM,443065,246088,196977,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/1950.v1.fastGWA.gz
1960,Fed-up feelings,Binary,MLM,446742,181740,265002,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/1960.v1.fastGWA.gz
1970,Nervous feelings,Binary,MLM,444344,105190,339154,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/1970.v1.fastGWA.gz
1980,Worrier / anxious feelings,Binary,MLM,444404,251982,192422,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/1980.v1.fastGWA.gz
1990,Tense / 'highly strung',Binary,MLM,441888,76946,364942,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/1990.v1.fastGWA.gz
2000,Worry too long after embarrassment,Binary,MLM,437695,208944,228751,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/2000.v1.fastGWA.gz
2010,Suffer from 'nerves',Binary,MLM,439541,93482,346059,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/2010.v1.fastGWA.gz
2020,Loneliness, isolation,Binary,MLM,448956,81011,367945,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/2020.v1.fastGWA.gz
2030,Guilty feelings,Binary,MLM,444381,127374,317007,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/2030.v1.fastGWA.gz
2040,Risk taking,Binary,MLM,440078,115248,324830,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/2040.v1.fastGWA.gz
2050,Frequency of depressed mood in last 2 weeks,Ordered_Categorical,MLM,436656,,,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/2050.v1.fastGWA.gz
2060,Frequency of unenthusiasm / disinterest in last 2 weeks,Ordered_Categorical,MLM,441179,,,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/2060.v1.fastGWA.gz
2070,Frequency of tenseness / restlessness in last 2 weeks,Ordered_Categorical,MLM,439044,,,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/2070.v1.fastGWA.gz
2080,Frequency of tiredness / lethargy in last 2 weeks,Ordered_Categorical,MLM,442694,,,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/2080.v1.fastGWA.gz
2110,Able to confide,Ordered_Categorical,MLM,442710,,,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/2110.v1.fastGWA.gz
2188,Long-standing illness, disability or infirmity,Binary,MLM,445479,145122,300357,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/2188.v1.fastGWA.gz
2207,Wears glasses or contact lenses,Binary,MLM,455654,405672,49982,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/2207.v1.fastGWA.gz
2217,Age started wearing glasses or contact lenses,Continuous,MLM,392068,,,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/2217.v1.fastGWA.gz
2227,Other eye problems,Binary,MLM,454980,65649,389331,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/2227.v1.fastGWA.gz
2247_0,Hearing difficulty/problems: No,Binary,MLM,437767,323343,114424,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/2247_0.v1.fastGWA.gz
2247_1,Hearing difficulty/problems: Yes,Binary,MLM,437767,114318,323449,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/2247_1.v1.fastGWA.gz
2247_99,Hearing difficulty/problems: I am completely deaf,Binary,LR,437767,106,437661,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/2247_99.v1.fastGWA.gz
2257,Hearing difficulty/problems with background noise,Binary,MLM,447071,169279,277792,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/2257.v1.fastGWA.gz
2267,Use of sun/uv protection,Ordered_Categorical,MLM,452925,,,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/2267.v1.fastGWA.gz
2277,Frequency of solarium/sunlamp use,Ordered_Categorical,MLM,430120,,,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/2277.v1.fastGWA.gz
2296,Falls in the last year,Ordered_Categorical,MLM,455194,,,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/2296.v1.fastGWA.gz
2306,Weight change compared with 1 year ago,Ordered_Categorical,MLM,448642,,,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/2306.v1.fastGWA.gz
2316,Wheeze or whistling in the chest in last year,Binary,MLM,447600,93869,353731,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/2316.v1.fastGWA.gz
2335,Chest pain or discomfort,Binary,MLM,451534,71859,379675,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/2335.v1.fastGWA.gz
2415,Had major operations,Binary,MLM,207167,133145,74022,YES,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/2415.v1.fastGWA.gz
2453,Cancer diagnosed by doctor,Binary,MLM,454736,35762,418974,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/2453.v1.fastGWA.gz
2463,Fractured/broken bones in last 5 years,Binary,MLM,453824,43921,409903,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/2463.v1.fastGWA.gz
2473,Other serious medical condition/disability diagnosed by doctor,Binary,MLM,447778,92032,355746,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/2473.v1.fastGWA.gz
2624,Frequency of heavy DIY in last 4 weeks,Ordered_Categorical,MLM,181010,,,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/2624.v1.fastGWA.gz
2634,Duration of heavy DIY,Ordered_Categorical,MLM,181266,,,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/2634.v1.fastGWA.gz
2664_5,Reason for reducing amount of alcohol drunk: Other reason,Binary,MLM,169830,89574,80256,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/2664_5.v1.fastGWA.gz
2664_1,Reason for reducing amount of alcohol drunk: Illness or ill health,Binary,MLM,169830,12143,157687,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/2664_1.v1.fastGWA.gz
2664_2,Reason for reducing amount of alcohol drunk: Doctor's advice,Binary,LR,169830,3808,166022,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/2664_2.v1.fastGWA.gz
2664_3,Reason for reducing amount of alcohol drunk: Health precaution,Binary,MLM,169830,55353,114477,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/2664_3.v1.fastGWA.gz
2664_4,Reason for reducing amount of alcohol drunk: Financial reasons,Binary,MLM,169830,8952,160878,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/2664_4.v1.fastGWA.gz
2844,Had other major operations,Binary,MLM,245308,164856,80452,YES,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/2844.v1.fastGWA.gz
2956,General pain for 3+ months,Binary,LR,7137,5939,1198,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/2956.v1.fastGWA.gz
2986,Started insulin within one year diagnosis of diabetes,Binary,MLM,20892,2551,18341,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/2986.v1.fastGWA.gz
3005,Fracture resulting from simple fall,Binary,LR,43319,25773,17546,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/3005.v1.fastGWA.gz
3079,Pace-maker,Binary,LR,455921,1433,454488,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/3079.v1.fastGWA.gz
3393,Hearing aid user,Binary,MLM,276380,13905,262475,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/3393.v1.fastGWA.gz
3404,Neck/shoulder pain for 3+ months,Binary,MLM,103748,71764,31984,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/3404.v1.fastGWA.gz
3414,Hip pain for 3+ months,Binary,LR,50942,39730,11212,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/3414.v1.fastGWA.gz
3571,Back pain for 3+ months,Binary,MLM,115479,79258,36221,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/3571.v1.fastGWA.gz
3606,Chest pain or discomfort walking normally,Binary,MLM,71214,12557,58657,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/3606.v1.fastGWA.gz
3616,Chest pain due to walking ceases when standing still,Binary,MLM,26066,21099,4967,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/3616.v1.fastGWA.gz
3637,Frequency of other exercises in last 4 weeks,Ordered_Categorical,MLM,217108,,,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/3637.v1.fastGWA.gz
3731,Former alcohol drinker,Binary,MLM,30529,15997,14532,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/3731.v1.fastGWA.gz
3741,Stomach/abdominal pain for 3+ months,Binary,MLM,38199,21320,16879,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/3741.v1.fastGWA.gz
3751,Chest pain or discomfort when walking uphill or hurrying,Binary,MLM,57024,15207,41817,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/3751.v1.fastGWA.gz
3761,Age hay fever, rhinitis or eczema diagnosed,Continuous,MLM,90579,,,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/3761.v1.fastGWA.gz
3773,Knee pain for 3+ months,Binary,LR,96605,75940,20665,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/3773.v1.fastGWA.gz
3799,Headaches for 3+ months,Binary,MLM,89749,40965,48784,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/3799.v1.fastGWA.gz
3859_5,Reason former drinker stopped drinking alcohol: Other reason,Binary,MLM,15398,7035,8363,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/3859_5.v1.fastGWA.gz
3859_1,Reason former drinker stopped drinking alcohol: Illness or ill health,Binary,LR,15398,4074,11324,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/3859_1.v1.fastGWA.gz
3859_2,Reason former drinker stopped drinking alcohol: Doctor's advice,Binary,LR,15398,859,14539,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/3859_2.v1.fastGWA.gz
3992,Age emphysema/chronic bronchitis diagnosed,Continuous,LR,6285,,,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/3992.v1.fastGWA.gz
4012,Age deep-vein thrombosis (DVT, blood clot in leg) diagnosed,Continuous,LR,8606,,,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/4012.v1.fastGWA.gz
4067,Facial pains for 3+ months,Binary,LR,8374,4005,4369,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/4067.v1.fastGWA.gz
4106,Heel bone mineral density (BMD) T-score, automated (left),Continuous,MLM,143882,,,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/4106.v1.fastGWA.gz
4125,Heel bone mineral density (BMD) T-score, automated (right),Continuous,MLM,143828,,,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/4125.v1.fastGWA.gz
4407,Average monthly red wine intake,Ordered_Categorical,MLM,33398,,,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/4407.v1.fastGWA.gz
4418,Average monthly champagne plus white wine intake,Ordered_Categorical,MLM,33359,,,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/4418.v1.fastGWA.gz
4429,Average monthly beer plus cider intake,Ordered_Categorical,LR,33467,,,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/4429.v1.fastGWA.gz
4440,Average monthly spirits intake,Ordered_Categorical,MLM,33336,,,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/4440.v1.fastGWA.gz
4451,Average monthly fortified wine intake,Ordered_Categorical,LR,33513,,,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/4451.v1.fastGWA.gz
4462,Average monthly intake of other alcoholic drinks,Ordered_Categorical,MLM,33555,,,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/4462.v1.fastGWA.gz
4526,Happiness,Ordered_Categorical,MLM,149931,,,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/4526.v1.fastGWA.gz
4537,Work/job satisfaction,Ordered_Categorical,MLM,103468,,,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/4537.v1.fastGWA.gz
4548,Health satisfaction,Ordered_Categorical,MLM,150001,,,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/4548.v1.fastGWA.gz
4559,Family relationship satisfaction,Ordered_Categorical,MLM,149105,,,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/4559.v1.fastGWA.gz
4570,Friendships satisfaction,Ordered_Categorical,MLM,148842,,,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/4570.v1.fastGWA.gz
4581,Financial situation satisfaction,Ordered_Categorical,MLM,149759,,,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/4581.v1.fastGWA.gz
4598,Ever depressed for a whole week,Binary,MLM,147545,79315,68230,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/4598.v1.fastGWA.gz
4609,Longest period of depression,Continuous,LR,63659,,,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/4609.v1.fastGWA.gz
4631,Ever unenthusiastic/disinterested for a whole week,Binary,MLM,144304,53353,90951,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/4631.v1.fastGWA.gz
4642,Ever manic/hyper for 2 days,Binary,LR,146837,8449,138388,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/4642.v1.fastGWA.gz
4653,Ever highly irritable/argumentative for 2 days,Binary,MLM,147168,26667,120501,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/4653.v1.fastGWA.gz
4700,Age cataract diagnosed,Continuous,LR,6302,,,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/4700.v1.fastGWA.gz
4717,Shortness of breath walking on level ground,Binary,MLM,147955,15781,132174,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/4717.v1.fastGWA.gz
4792,Cochlear implant,Binary,LR,150510,135,150375,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/4792.v1.fastGWA.gz
4803_0,Tinnitus: No, never,Binary,MLM,147789,104711,43078,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/4803_0.v1.fastGWA.gz
4803_11,Tinnitus: Yes, now most or all of the time,Binary,MLM,147789,9697,138092,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/4803_11.v1.fastGWA.gz
4803_12,Tinnitus: Yes, now a lot of the time,Binary,LR,147789,3737,144052,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/4803_12.v1.fastGWA.gz
4803_13,Tinnitus: Yes, now some of the time,Binary,MLM,147789,13154,134635,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/4803_13.v1.fastGWA.gz
4803_14,Tinnitus: Yes, but not now, but have in the past,Binary,LR,147789,16490,131299,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/4803_14.v1.fastGWA.gz
4814,Tinnitus severity/nuisance,Ordered_Categorical,LR,42752,,,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/4814.v1.fastGWA.gz
4825,Noisy workplace,Ordered_Categorical,MLM,149208,,,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/4825.v1.fastGWA.gz
4836,Loud music exposure frequency,Ordered_Categorical,MLM,148493,,,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/4836.v1.fastGWA.gz
5375,Longest period of unenthusiasm / disinterest,Continuous,LR,40520,,,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/5375.v1.fastGWA.gz
5386,Number of unenthusiastic/disinterested episodes,Ordered_Categorical,MLM,37766,,,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/5386.v1.fastGWA.gz
5441_3,Which eye(s) are affected by cataract: Both eyes,Binary,LR,5227,3183,2044,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/5441_3.v1.fastGWA.gz
5441_1,Which eye(s) are affected by cataract: Right eye,Binary,LR,5227,1119,4108,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/5441_1.v1.fastGWA.gz
5441_2,Which eye(s) are affected by cataract: Left eye,Binary,LR,5227,925,4302,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/5441_2.v1.fastGWA.gz
5610_3,Which eye(s) affected by presbyopia: Both eyes,Binary,MLM,39080,34767,4313,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/5610_3.v1.fastGWA.gz
5610_1,Which eye(s) affected by presbyopia: Right eye,Binary,LR,39080,2143,36937,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/5610_1.v1.fastGWA.gz
5610_2,Which eye(s) affected by presbyopia: Left eye,Binary,MLM,39080,2170,36910,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/5610_2.v1.fastGWA.gz
5663,Length of longest manic/irritable episode,Binary,MLM,24722,5199,19523,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/5663.v1.fastGWA.gz
5674,Severity of manic/irritable episodes,Binary,LR,26774,7368,19406,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/5674.v1.fastGWA.gz
5832_3,Which eye(s) affected by hypermetropia (long sight): Both eyes,Binary,LR,18730,16035,2695,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/5832_3.v1.fastGWA.gz
5832_1,Which eye(s) affected by hypermetropia (long sight): Right eye,Binary,LR,18730,1391,17339,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/5832_1.v1.fastGWA.gz
5832_2,Which eye(s) affected by hypermetropia (long sight): Left eye,Binary,LR,18730,1304,17426,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/5832_2.v1.fastGWA.gz
5843_3,Which eye(s) affected by myopia (short sight): Both eyes,Binary,MLM,36623,32650,3973,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/5843_3.v1.fastGWA.gz
5843_1,Which eye(s) affected by myopia (short sight): Right eye,Binary,LR,36623,2053,34570,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/5843_1.v1.fastGWA.gz
5843_2,Which eye(s) affected by myopia (short sight): Left eye,Binary,LR,36623,1920,34703,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/5843_2.v1.fastGWA.gz
5855_3,Which eye(s) affected by astigmatism: Both eyes,Binary,MLM,12182,8430,3752,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/5855_3.v1.fastGWA.gz
5855_1,Which eye(s) affected by astigmatism: Right eye,Binary,MLM,12182,1793,10389,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/5855_1.v1.fastGWA.gz
5855_2,Which eye(s) affected by astigmatism: Left eye,Binary,MLM,12182,1959,10223,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/5855_2.v1.fastGWA.gz
5985,Bicycle speed,Continuous,MLM,66940,,,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/5985.v1.fastGWA.gz
6145_100,Illness, injury, bereavement, stress in last 2 years: PHESANT recoding,Binary,MLM,453246,253501,199745,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/6145_100.v1.fastGWA.gz
6145_1,Illness, injury, bereavement, stress in last 2 years: Serious illness, injury or assault to yourself,Binary,MLM,453246,42167,411079,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/6145_1.v1.fastGWA.gz
6145_2,Illness, injury, bereavement, stress in last 2 years: Serious illness, injury or assault of a close relative,Binary,MLM,453246,52628,400618,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/6145_2.v1.fastGWA.gz
6145_5,Illness, injury, bereavement, stress in last 2 years: Marital separation/divorce,Binary,MLM,453246,13871,439375,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/6145_5.v1.fastGWA.gz
6145_6,Illness, injury, bereavement, stress in last 2 years: Financial difficulties,Binary,MLM,453246,52374,400872,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/6145_6.v1.fastGWA.gz
6145_3,Illness, injury, bereavement, stress in last 2 years: Death of a close relative,Binary,MLM,453246,95788,357458,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/6145_3.v1.fastGWA.gz
6145_4,Illness, injury, bereavement, stress in last 2 years: Death of a spouse or partner,Binary,LR,453246,7176,446070,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/6145_4.v1.fastGWA.gz
6147_3,Reason for glasses/contact lenses: For just reading/near work as you are getting older (called 'presbyopia'),Binary,MLM,455654,39080,416574,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/6147_3.v1.fastGWA.gz
6147_2,Reason for glasses/contact lenses: For long-sightedness, i.e. for distance and near, but particularly for near tasks like reading (called 'hypermetropia'),Binary,MLM,455654,18730,436924,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/6147_2.v1.fastGWA.gz
6147_1,Reason for glasses/contact lenses: For short-sightedness, i.e. only or mainly for distance viewing such as driving, cinema etc (called 'myopia'),Binary,MLM,455654,36623,419031,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/6147_1.v1.fastGWA.gz
6147_4,Reason for glasses/contact lenses: For 'astigmatism',Binary,MLM,455654,12182,443472,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/6147_4.v1.fastGWA.gz
6147_6,Reason for glasses/contact lenses: For a 'lazy' eye or an eye with poor vision since childhood (called 'amblyopia'),Binary,MLM,455654,3694,451960,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/6147_6.v1.fastGWA.gz
6147_5,Reason for glasses/contact lenses: For a 'squint' or 'turn' in an eye since childhood (called 'strabismus'),Binary,MLM,455654,1936,453718,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/6147_5.v1.fastGWA.gz
6147_7,Reason for glasses/contact lenses: Other eye condition,Binary,LR,455654,1572,454082,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/6147_7.v1.fastGWA.gz
6148_100,Eye problems/disorders: PHESANT recoding,Binary,MLM,147979,115304,32675,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/6148_100.v1.fastGWA.gz
6148_4,Eye problems/disorders: Cataract,Binary,MLM,147979,14025,133954,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/6148_4.v1.fastGWA.gz
6148_3,Eye problems/disorders: Injury or trauma resulting in loss of vision,Binary,LR,147979,2717,145262,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/6148_3.v1.fastGWA.gz
6148_2,Eye problems/disorders: Glaucoma,Binary,MLM,147979,6368,141611,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/6148_2.v1.fastGWA.gz
6148_1,Eye problems/disorders: Diabetes related eye disease,Binary,MLM,147979,2871,145108,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/6148_1.v1.fastGWA.gz
6148_6,Eye problems/disorders: Other serious eye condition,Binary,MLM,147979,8289,139690,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/6148_6.v1.fastGWA.gz
6148_5,Eye problems/disorders: Macular degeneration,Binary,MLM,147979,3493,144486,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/6148_5.v1.fastGWA.gz
6149_4,Mouth/teeth dental problems: Loose teeth,Binary,MLM,454565,18545,436020,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/6149_4.v1.fastGWA.gz
6149_6,Mouth/teeth dental problems: Dentures,Binary,MLM,454565,77191,377374,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/6149_6.v1.fastGWA.gz
6149_100,Mouth/teeth dental problems: PHESANT recoding,Binary,MLM,454565,275220,179345,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/6149_100.v1.fastGWA.gz
6149_3,Mouth/teeth dental problems: Bleeding gums,Binary,MLM,454565,59211,395354,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/6149_3.v1.fastGWA.gz
6149_1,Mouth/teeth dental problems: Mouth ulcers,Binary,MLM,454565,46526,408039,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/6149_1.v1.fastGWA.gz
6149_2,Mouth/teeth dental problems: Painful gums,Binary,MLM,454565,13055,441510,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/6149_2.v1.fastGWA.gz
6149_5,Mouth/teeth dental problems: Toothache,Binary,MLM,454565,18555,436010,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/6149_5.v1.fastGWA.gz
6150_4,Vascular/heart problems diagnosed by doctor: High blood pressure,Binary,MLM,455303,122620,332683,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/6150_4.v1.fastGWA.gz
6150_1,Vascular/heart problems diagnosed by doctor: Heart attack,Binary,MLM,455303,10573,444730,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/6150_1.v1.fastGWA.gz
6150_2,Vascular/heart problems diagnosed by doctor: Angina,Binary,MLM,455303,14618,440685,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/6150_2.v1.fastGWA.gz
6150_100,Vascular/heart problems diagnosed by doctor: PHESANT recoding,Binary,MLM,455303,320315,134988,,http://data.qld.edu.au/public/Q1031/UKB_impute_v1/6150_100.v1.fastGWA.gz
