"ID","Description","Data_type","Method","N","Ncase","Gender_specific","URL"
"100280","Added milk to filtered coffee","Binary","MLM",64001,8378,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/100280.v1.1.fastGWA.gz"
"100360","Decaffeinated coffee","Binary","LR",64001,7241,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/100360.v1.1.fastGWA.gz"
"100370","Intake of sugar added to coffee","Ordered_Categorical","MLM",64001,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/100370.v1.1.fastGWA.gz"
"100390","Tea consumed","Binary","MLM",64001,50994,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/100390.v1.1.fastGWA.gz"
"100400","Standard tea intake","Ordered_Categorical","MLM",64001,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/100400.v1.1.fastGWA.gz"
"100460","Added milk to standard tea","Binary","MLM",64001,41684,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/100460.v1.1.fastGWA.gz"
"100520","Milk intake","Ordered_Categorical","MLM",63995,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/100520.v1.1.fastGWA.gz"
"100580","Alcohol consumed","Binary","MLM",64001,31460,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/100580.v1.1.fastGWA.gz"
"100590","Red wine intake","Ordered_Categorical","MLM",64001,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/100590.v1.1.fastGWA.gz"
"100630","Rose wine intake","Ordered_Categorical","LR",64001,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/100630.v1.1.fastGWA.gz"
"100670","White wine intake","Ordered_Categorical","MLM",64001,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/100670.v1.1.fastGWA.gz"
"100710","Beer/cider intake","Ordered_Categorical","LR",64001,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/100710.v1.1.fastGWA.gz"
"100720","Fortified wine intake","Ordered_Categorical","LR",63994,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/100720.v1.1.fastGWA.gz"
"100730","Spirits intake","Ordered_Categorical","LR",64001,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/100730.v1.1.fastGWA.gz"
"100760","Breakfast cereal consumed","Binary","MLM",64001,42090,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/100760.v1.1.fastGWA.gz"
"100890","Milk added to cereal","Binary","MLM",64001,35746,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/100890.v1.1.fastGWA.gz"
"100920_0","Type milk consumed: did not have milk","Binary","MLM",64001,3262,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/100920_0.v1.1.fastGWA.gz"
"100920_2102","Type milk consumed: semiskimmed","Binary","MLM",64001,39621,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/100920_2102.v1.1.fastGWA.gz"
"100920_2103","Type milk consumed: skimmed","Binary","MLM",64001,13045,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/100920_2103.v1.1.fastGWA.gz"
"100920_2104","Type milk consumed: wholemilk","Binary","MLM",64001,3644,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/100920_2104.v1.1.fastGWA.gz"
"100920_2105","Type milk consumed: soya with calcium","Binary","MLM",64001,1977,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/100920_2105.v1.1.fastGWA.gz"
"100920_2106","Type milk consumed: soya without calcium","Binary","LR",64001,851,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/100920_2106.v1.1.fastGWA.gz"
"100940","Bread consumed","Binary","MLM",64001,54755,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/100940.v1.1.fastGWA.gz"
"1011","Frequency of light DIY in last 4 weeks","Ordered_Categorical","MLM",225895,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/1011.v1.1.fastGWA.gz"
"102","Pulse rate, automated reading","Continuous","MLM",430029,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/102.v1.1.fastGWA.gz"
"102080","Yogurt/ice-cream consumers","Binary","MLM",64001,25938,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/102080.v1.1.fastGWA.gz"
"1021","Duration of light DIY","Ordered_Categorical","MLM",224688,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/1021.v1.1.fastGWA.gz"
"102130","Dessert consumers","Binary","MLM",64001,20622,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/102130.v1.1.fastGWA.gz"
"102190","Cake intake","Ordered_Categorical","LR",64001,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/102190.v1.1.fastGWA.gz"
"102250","Sweet snack consumers","Binary","MLM",64001,34656,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/102250.v1.1.fastGWA.gz"
"102280","Milk chocolate intake","Ordered_Categorical","LR",63996,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/102280.v1.1.fastGWA.gz"
"102290","Dark chocolate intake","Ordered_Categorical","LR",63998,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/102290.v1.1.fastGWA.gz"
"102330","Sweets intake","Ordered_Categorical","LR",64001,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/102330.v1.1.fastGWA.gz"
"102360","Sweet biscuits intake","Ordered_Categorical","LR",64001,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/102360.v1.1.fastGWA.gz"
"102400","Savoury snack consumers","Binary","LR",64001,22768,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/102400.v1.1.fastGWA.gz"
"102440","Unsalted nuts intake","Ordered_Categorical","LR",64001,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/102440.v1.1.fastGWA.gz"
"102460","Crisp intake","Ordered_Categorical","LR",64001,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/102460.v1.1.fastGWA.gz"
"102700","Starchy food consumers","Binary","MLM",64001,17215,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/102700.v1.1.fastGWA.gz"
"102800","Cheese consumers","Binary","LR",64001,28953,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/102800.v1.1.fastGWA.gz"
"102820","Hard cheese intake","Ordered_Categorical","LR",64001,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/102820.v1.1.fastGWA.gz"
"102830","Soft cheese intake","Ordered_Categorical","MLM",64001,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/102830.v1.1.fastGWA.gz"
"102840","Blue cheese intake","Ordered_Categorical","LR",64001,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/102840.v1.1.fastGWA.gz"
"102930","Egg consumers","Binary","LR",64001,13484,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/102930.v1.1.fastGWA.gz"
"103000","Meat consumers","Binary","LR",64001,44190,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/103000.v1.1.fastGWA.gz"
"103020","Beef intake","Ordered_Categorical","LR",63995,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/103020.v1.1.fastGWA.gz"
"103060","Poultry intake","Ordered_Categorical","LR",64001,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/103060.v1.1.fastGWA.gz"
"103070","Bacon intake","Ordered_Categorical","LR",64001,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/103070.v1.1.fastGWA.gz"
"1031","Frequency of friend/family visits","Ordered_Categorical","MLM",453317,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/1031.v1.1.fastGWA.gz"
"103120","Fat removed from meat","Binary","MLM",16691,15450,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/103120.v1.1.fastGWA.gz"
"103130","Skin removed from poultry","Binary","MLM",14015,13768,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/103130.v1.1.fastGWA.gz"
"103140","Fish consumer","Binary","LR",64001,18431,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/103140.v1.1.fastGWA.gz"
"103250","Vegetarian alternatives intake","Binary","LR",64001,2260,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/103250.v1.1.fastGWA.gz"
"103990","Vegetable consumers","Binary","LR",64001,52696,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/103990.v1.1.fastGWA.gz"
"104020","Fried potatoes intake","Ordered_Categorical","LR",64001,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/104020.v1.1.fastGWA.gz"
"104090","Side salad intake","Ordered_Categorical","MLM",64001,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/104090.v1.1.fastGWA.gz"
"104170","Carrot intake","Ordered_Categorical","LR",64001,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/104170.v1.1.fastGWA.gz"
"104210","Cucumber intake","Ordered_Categorical","LR",64001,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/104210.v1.1.fastGWA.gz"
"104240","Lettuce intake","Ordered_Categorical","LR",64001,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/104240.v1.1.fastGWA.gz"
"104290","Sweet pepper intake","Ordered_Categorical","LR",64001,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/104290.v1.1.fastGWA.gz"
"104340","Fresh tomato intake","Ordered_Categorical","LR",64001,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/104340.v1.1.fastGWA.gz"
"104400","Fruit consumers","Binary","MLM",64001,52183,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/104400.v1.1.fastGWA.gz"
"104450","Apple intake","Ordered_Categorical","MLM",64001,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/104450.v1.1.fastGWA.gz"
"104460","Banana intake","Ordered_Categorical","MLM",64001,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/104460.v1.1.fastGWA.gz"
"104530","Orange intake","Ordered_Categorical","LR",64001,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/104530.v1.1.fastGWA.gz"
"104670","Vitamin supplement user","Binary","MLM",64001,26193,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/104670.v1.1.fastGWA.gz"
"104900","Time spent doing vigorous physical activity","Ordered_Categorical","LR",64001,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/104900.v1.1.fastGWA.gz"
"104910","Time spent doing moderate physical activity","Ordered_Categorical","LR",64001,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/104910.v1.1.fastGWA.gz"
"104920","Time spent doing light physical activity","Ordered_Categorical","LR",64001,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/104920.v1.1.fastGWA.gz"
"1050","Time spend outdoors in summer","Ordered_Categorical","MLM",413633,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/1050.v1.1.fastGWA.gz"
"1060","Time spent outdoors in winter","Ordered_Categorical","MLM",359652,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/1060.v1.1.fastGWA.gz"
"1070","Time spent watching television (TV)","Ordered_Categorical","MLM",431882,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/1070.v1.1.fastGWA.gz"
"1080","Time spent using computer","Ordered_Categorical","MLM",355478,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/1080.v1.1.fastGWA.gz"
"1090","Time spent driving","Ordered_Categorical","MLM",305967,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/1090.v1.1.fastGWA.gz"
"1100","Drive faster than motorway speed limit","Ordered_Categorical","MLM",412482,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/1100.v1.1.fastGWA.gz"
"110005","Invitation to physical activity study, acceptance","Binary","MLM",217653,97144,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/110005.v1.1.fastGWA.gz"
"1110","Length of mobile phone use","Ordered_Categorical","MLM",450482,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/1110.v1.1.fastGWA.gz"
"1120","Weekly usage of mobile phone in last 3 months","Ordered_Categorical","MLM",380866,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/1120.v1.1.fastGWA.gz"
"1130","Hands-free device/speakerphone use with mobile phone in last 3 month","Ordered_Categorical","MLM",382788,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/1130.v1.1.fastGWA.gz"
"1140","Difference in mobile phone use compared to two years previously","Ordered_Categorical","MLM",376958,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/1140.v1.1.fastGWA.gz"
"1150_1","Usual side of head for mobile phone use: Left","Binary","MLM",383280,136443,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/1150_1.v1.1.fastGWA.gz"
"1150_2","Usual side of head for mobile phone use: Right","Binary","MLM",383280,221755,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/1150_2.v1.1.fastGWA.gz"
"1150_3","Usual side of head for mobile phone use: Equally left and right","Binary","MLM",383280,25082,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/1150_3.v1.1.fastGWA.gz"
"1160","Sleep duration","Ordered_Categorical","MLM",453532,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/1160.v1.1.fastGWA.gz"
"1170","Getting up in morning","Ordered_Categorical","MLM",455090,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/1170.v1.1.fastGWA.gz"
"1180","Morning/evening person (chronotype)","Ordered_Categorical","MLM",407537,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/1180.v1.1.fastGWA.gz"
"1190","Nap during day","Ordered_Categorical","MLM",455848,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/1190.v1.1.fastGWA.gz"
"1200","Sleeplessness / insomnia","Ordered_Categorical","MLM",455744,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/1200.v1.1.fastGWA.gz"
"1210","Snoring","Binary","MLM",424389,266211,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/1210.v1.1.fastGWA.gz"
"1220","Daytime dozing / sleeping (narcolepsy)","Ordered_Categorical","MLM",454417,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/1220.v1.1.fastGWA.gz"
"1239","Current tobacco smoking","Ordered_Categorical","MLM",455825,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/1239.v1.1.fastGWA.gz"
"1249","Past tobacco smoking","Ordered_Categorical","MLM",419020,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/1249.v1.1.fastGWA.gz"
"1259","Smoking/smokers in household","Ordered_Categorical","MLM",419584,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/1259.v1.1.fastGWA.gz"
"12673","Heart rate during PWA","Continuous","LR",12906,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/12673.v1.1.fastGWA.gz"
"12674","Systolic brachial blood pressure during PWA","Continuous","MLM",12813,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/12674.v1.1.fastGWA.gz"
"12675","Diastolic brachial blood pressure during PWA","Continuous","LR",12813,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/12675.v1.1.fastGWA.gz"
"12676","Peripheral pulse pressure during PWA","Continuous","MLM",12810,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/12676.v1.1.fastGWA.gz"
"12677","Central systolic blood pressure during PWA","Continuous","MLM",12812,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/12677.v1.1.fastGWA.gz"
"12678","Central pulse pressure during PWA","Continuous","MLM",12810,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/12678.v1.1.fastGWA.gz"
"12679","Number of beats in waveform average for PWA","Continuous","LR",12907,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/12679.v1.1.fastGWA.gz"
"12680","Central augmentation pressure during PWA","Continuous","LR",12806,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/12680.v1.1.fastGWA.gz"
"12681","Augmentation index for PWA","Continuous","LR",12904,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/12681.v1.1.fastGWA.gz"
"12682","Cardiac output during PWA","Continuous","MLM",12632,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/12682.v1.1.fastGWA.gz"
"12683","End systolic pressure during PWA","Continuous","LR",12767,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/12683.v1.1.fastGWA.gz"
"12684","End systolic pressure index during PWA","Continuous","LR",12622,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/12684.v1.1.fastGWA.gz"
"12685","Total peripheral resistance during PWA","Continuous","MLM",12767,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/12685.v1.1.fastGWA.gz"
"12686","Stroke volume during PWA","Continuous","LR",12635,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/12686.v1.1.fastGWA.gz"
"12687","Mean arterial pressure during PWA","Continuous","LR",12812,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/12687.v1.1.fastGWA.gz"
"1269","Exposure to tobacco smoke at home","Ordered_Categorical","MLM",411932,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/1269.v1.1.fastGWA.gz"
"12697","Systolic brachial blood pressure","Continuous","LR",13002,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/12697.v1.1.fastGWA.gz"
"12698","Diastolic brachial blood pressure","Continuous","LR",13004,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/12698.v1.1.fastGWA.gz"
"12702","Cardiac index during PWA","Continuous","LR",12414,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/12702.v1.1.fastGWA.gz"
"1279","Exposure to tobacco smoke outside home","Ordered_Categorical","MLM",386107,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/1279.v1.1.fastGWA.gz"
"1289","Cooked vegetable intake","Ordered_Categorical","MLM",442381,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/1289.v1.1.fastGWA.gz"
"129","Place of birth in UK - north co-ordinate","Continuous","MLM",424403,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/129.v1.1.fastGWA.gz"
"1299","Salad / raw vegetable intake","Ordered_Categorical","MLM",429129,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/1299.v1.1.fastGWA.gz"
"130","Place of birth in UK - east co-ordinate","Continuous","MLM",424403,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/130.v1.1.fastGWA.gz"
"1309","Fresh fruit intake","Ordered_Categorical","MLM",440074,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/1309.v1.1.fastGWA.gz"
"1319","Dried fruit intake","Ordered_Categorical","MLM",415946,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/1319.v1.1.fastGWA.gz"
"1329","Oily fish intake","Ordered_Categorical","MLM",453893,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/1329.v1.1.fastGWA.gz"
"1339","Non-oily fish intake","Ordered_Categorical","MLM",454338,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/1339.v1.1.fastGWA.gz"
"134","Number of self-reported cancers","Ordered_Categorical","LR",456269,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/134.v1.1.fastGWA.gz"
"1349","Processed meat intake","Ordered_Categorical","MLM",455394,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/1349.v1.1.fastGWA.gz"
"135","Number of self-reported non-cancer illnesses","Ordered_Categorical","MLM",456276,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/135.v1.1.fastGWA.gz"
"1359","Poultry intake","Ordered_Categorical","MLM",455301,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/1359.v1.1.fastGWA.gz"
"136","Number of operations, self-reported","Ordered_Categorical","MLM",456276,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/136.v1.1.fastGWA.gz"
"1369","Beef intake","Ordered_Categorical","MLM",454502,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/1369.v1.1.fastGWA.gz"
"137","Number of treatments/medications taken","Ordered_Categorical","MLM",456276,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/137.v1.1.fastGWA.gz"
"1379","Lamb/mutton intake","Ordered_Categorical","MLM",453460,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/1379.v1.1.fastGWA.gz"
"1389","Pork intake","Ordered_Categorical","MLM",453616,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/1389.v1.1.fastGWA.gz"
"1408","Cheese intake","Ordered_Categorical","MLM",445077,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/1408.v1.1.fastGWA.gz"
"1418_1","Milk type used: Full cream","Binary","MLM",455816,29211,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/1418_1.v1.1.fastGWA.gz"
"1418_2","Milk type used: Semi-skimmed","Binary","MLM",455816,296081,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/1418_2.v1.1.fastGWA.gz"
"1418_3","Milk type used: Skimmed","Binary","MLM",455816,93232,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/1418_3.v1.1.fastGWA.gz"
"1418_4","Milk type used: Soya","Binary","MLM",455816,16947,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/1418_4.v1.1.fastGWA.gz"
"1418_5","Milk type used: Other type of milk","Binary","MLM",455816,5437,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/1418_5.v1.1.fastGWA.gz"
"1418_6","Milk type used: Never/rarely have milk","Binary","MLM",455816,14908,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/1418_6.v1.1.fastGWA.gz"
"1428_0","Spread type: Never/rarely use spread","Binary","MLM",455168,47226,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/1428_0.v1.1.fastGWA.gz"
"1428_1","Spread type: Butter/spreadable butter","Binary","MLM",455168,166328,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/1428_1.v1.1.fastGWA.gz"
"1428_3","Spread type: Other type of spread/margarine","Binary","MLM",455168,239231,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/1428_3.v1.1.fastGWA.gz"
"1438","Bread intake","Continuous","MLM",445850,NA,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/1438.v1.1.fastGWA.gz"
"1448_1","Bread type: White","Binary","MLM",440084,115996,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/1448_1.v1.1.fastGWA.gz"
"1448_2","Bread type: Brown","Binary","MLM",440084,52852,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/1448_2.v1.1.fastGWA.gz"
"1448_3","Bread type: Wholemeal or wholegrain","Binary","MLM",440084,252651,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/1448_3.v1.1.fastGWA.gz"
"1448_4","Bread type: Other type of bread","Binary","MLM",440084,18585,"","https://ukb-imp.oss-us-west-1.aliyuncs.com/1448_4.v1.1.fastGWA.gz"
